user_id,login_time,browser,device,ip_address,country
1,2024-04-15 14:55:15,Safari,Mobile,76.98.41.134,Nigeria
2,2023-10-17 13:21:45,Chrome,Desktop,129.174.15.35,Saudi Arabia
3,2024-01-31 00:35:56,Safari,Mobile,138.71.47.12,Jordan
4,2023-11-06 11:12:14,Firefox,Tablet,99.112.61.7,Papua New Guinea
5,2023-09-03 19:26:24,Edge,Desktop,133.246.21.44,Peru
6,2024-02-02 02:13:28,Edge,Desktop,129.32.91.214,China
7,2023-01-28 06:41:21,Chrome,Desktop,100.245.224.45,Poland
8,2023-03-23 14:37:47,Firefox,Desktop,202.168.87.197,Cuba
9,2023-07-09 09:52:59,Firefox,Desktop,149.112.159.216,Burundi
10,2023-10-30 09:07:12,Safari,Mobile,20.226.148.183,Japan
11,2024-04-04 22:01:42,Safari,Mobile,134.66.178.99,Ukraine
12,2022-12-25 04:05:23,Firefox,Mobile,171.195.169.106,Argentina
13,2023-10-22 20:21:18,Edge,Tablet,106.131.119.207,Lithuania
14,2024-03-11 12:14:52,Chrome,Tablet,117.8.201.113,Malawi
15,2023-07-17 06:18:16,Safari,Desktop,208.253.33.71,Azerbaijan
16,2024-03-27 21:18:04,Firefox,Tablet,220.6.85.176,Cameroon
17,2023-04-20 07:35:35,Chrome,Mobile,56.174.177.158,Thailand
18,2023-05-10 14:39:00,Opera,Mobile,76.52.19.34,Ukraine
19,2024-09-24 15:56:28,Opera,Mobile,137.104.55.72,Senegal
20,2023-11-06 00:17:25,Chrome,Tablet,191.11.166.244,Syrian Arab Republic
21,2024-05-27 10:02:19,Brave,Mobile,167.73.193.65,Central African Republic
22,2024-11-25 09:37:42,Safari,Desktop,135.217.142.52,Saint Barthelemy
23,2024-09-02 02:05:21,Brave,Desktop,144.87.107.143,Canada
24,2024-07-15 10:57:18,Opera,Tablet,132.97.49.59,Norway
25,2024-09-15 11:23:00,Brave,Mobile,84.22.84.135,Kuwait
26,2023-08-06 07:09:22,Safari,Desktop,194.177.44.77,Pitcairn Islands
27,2022-12-11 15:48:07,Opera,Desktop,99.113.236.8,Isle of Man
28,2023-03-19 17:19:24,Firefox,Tablet,156.1.10.160,United States Virgin Islands
29,2024-10-08 11:08:42,Brave,Desktop,208.112.75.196,Kazakhstan
30,2024-04-10 20:47:04,Brave,Tablet,149.11.121.83,South Africa
31,2024-07-20 09:11:02,Firefox,Desktop,70.49.58.13,Tuvalu
32,2023-08-28 03:10:53,Firefox,Mobile,200.118.212.185,Egypt
33,2024-09-08 11:43:02,Brave,Desktop,218.62.68.128,Botswana
34,2023-11-11 21:54:37,Brave,Tablet,65.241.111.94,Chad
35,2023-02-21 09:54:17,Edge,Desktop,197.193.161.6,Peru
36,2023-06-09 10:18:06,Opera,Desktop,211.87.129.158,Bahamas
37,2023-01-14 14:32:42,Firefox,Desktop,166.62.2.157,British Indian Ocean Territory (Chagos Archipelago)
38,2024-02-07 03:19:18,Firefox,Mobile,222.36.254.246,Grenada
39,2024-02-24 04:25:31,Opera,Tablet,12.167.98.199,Turkey
40,2024-05-20 09:54:49,Edge,Mobile,29.154.89.193,Israel
41,2023-08-11 07:16:28,Safari,Desktop,208.213.169.225,Malaysia
42,2023-03-27 01:14:33,Chrome,Tablet,101.102.149.40,Egypt
43,2022-12-20 13:03:12,Opera,Tablet,21.12.188.23,Azerbaijan
44,2024-05-10 04:22:53,Chrome,Mobile,144.149.12.129,Brunei Darussalam
45,2022-12-12 05:31:00,Edge,Desktop,104.216.167.201,New Zealand
46,2024-08-16 09:19:50,Firefox,Mobile,164.60.122.231,Tuvalu
47,2024-02-21 07:37:48,Chrome,Mobile,102.227.106.220,Greece
48,2024-11-09 13:24:55,Opera,Desktop,143.92.203.83,Vanuatu
49,2024-04-09 03:15:51,Chrome,Mobile,5.252.188.9,Mauritania
