user_id,login_time,browser,device,ip_address,country
1,2024-08-19 10:03:06,Firefox,Tablet,202.229.59.196,Bouvet Island (Bouvetoya)
1,2024-05-09 13:37:16,Safari,Tablet,220.165.45.160,Tuvalu
1,2023-03-09 01:16:05,Chrome,Mobile,97.130.226.133,Saint Martin
1,2023-05-29 13:13:52,Edge,Mobile,98.171.220.154,Egypt
1,2023-03-27 20:40:49,Opera,Desktop,157.127.180.73,Belgium
2,2022-12-27 15:26:20,Firefox,Tablet,200.65.79.9,Spain
2,2024-08-03 20:58:26,Edge,Tablet,117.49.244.204,Egypt
2,2023-12-17 16:38:07,Safari,Tablet,3.174.101.206,India
2,2023-03-26 08:44:10,Edge,Mobile,134.59.254.204,Lithuania
2,2023-09-30 21:44:17,Opera,Mobile,214.43.93.237,Algeria
3,2023-11-08 16:36:07,Safari,Tablet,221.29.95.24,Gambia
3,2024-02-23 07:05:46,Chrome,Tablet,168.78.61.14,Ghana
3,2023-11-25 18:21:57,Firefox,Tablet,195.231.157.6,Christmas Island
3,2024-02-11 08:58:24,Safari,Desktop,219.55.189.220,Kenya
3,2023-01-01 03:43:23,Chrome,Desktop,218.77.66.246,Isle of Man
4,2024-10-14 19:45:24,Firefox,Mobile,121.17.112.19,Spain
4,2023-10-31 18:38:00,Chrome,Mobile,88.161.135.182,United Kingdom
4,2024-10-14 09:31:53,Firefox,Tablet,60.255.205.94,Bangladesh
4,2023-09-22 08:33:43,Firefox,Mobile,47.146.222.26,Burundi
4,2024-09-01 13:14:22,Opera,Tablet,164.41.255.181,Solomon Islands
5,2022-12-25 05:27:11,Chrome,Desktop,186.95.191.61,Seychelles
5,2023-11-20 00:42:10,Brave,Mobile,207.169.38.23,New Caledonia
5,2024-09-27 16:01:22,Safari,Mobile,85.96.18.245,Micronesia
5,2024-04-30 19:31:24,Chrome,Tablet,113.157.50.118,Libyan Arab Jamahiriya
5,2024-08-18 15:35:18,Edge,Desktop,19.244.110.201,Mozambique
6,2024-05-30 09:09:27,Firefox,Desktop,54.85.148.34,Fiji
6,2024-03-26 07:19:08,Brave,Desktop,42.113.63.169,Grenada
6,2023-07-15 01:20:55,Chrome,Mobile,162.72.22.77,Saint Kitts and Nevis
6,2023-02-24 10:50:52,Safari,Desktop,172.35.17.207,Saint Barthelemy
6,2022-12-14 16:10:44,Chrome,Desktop,194.214.130.111,Croatia
7,2023-10-25 15:59:38,Safari,Tablet,147.104.206.177,Lebanon
7,2023-02-21 10:18:10,Edge,Mobile,85.57.140.14,Mongolia
7,2024-08-25 20:10:17,Firefox,Mobile,194.49.187.161,Antigua and Barbuda
7,2023-06-09 22:40:02,Edge,Tablet,143.1.159.95,Sao Tome and Principe
7,2023-05-16 21:58:17,Edge,Tablet,191.77.40.74,United Kingdom
8,2024-10-10 02:58:13,Firefox,Mobile,73.140.179.47,Guinea
8,2023-06-08 19:30:58,Brave,Desktop,175.45.68.253,Madagascar
